"Part";"Value";"Device";"Package";"Description";"DATASHEET-URL";"GENDER";"INTERFACE";"MOUNT";"ORIENTATION-TYPE";"PART-NUMBER";"Z";
"C1";"470nF/100V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"470nF/100V";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"D1";"1N14148-SOD123";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";
"D2";"1N14148-SOD123";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";
"D3";"DNP";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";
"D4";"DNP";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";
"J1";"";"60314202124525";"60314202124525";"WR-SMA PCB End Launch Plug Round Post 1.6 mm";"https://katalog.we-online.com/em/datasheet/60314202124525.pdf";"Plug";"MIL-STD-348";"End Launch";"Straight";"60314202124525";"50Ohm";
"J2";"";"60312202114509";"60312202114509";"WR-SMA PCB End Launch Jack Round Post 1.6 mm";"https://katalog.we-online.com/em/datasheet/60312202114509.pdf";"Jack";"MIL-STD-348";"End Launch";"Straight";"60312202114509";"50Ohm";
"L1";"744764920";"L-EUL3225M";"L3225M";"INDUCTOR, European symbol";"";"";"";"";"";"";"";
"R1";"10";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R2";"560";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R3";"560";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R4";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R5";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R6";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R7";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R8";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R9";"560";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R10";"560";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R11";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R12";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R13";"DNP";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
